rowLabel	avP	dP	avI	dI	f1	dF1	f2	dF2	h
?	200.96599929132563	3773.9214441265917	59.602185366293206	1215.5063690604634	408.5107012643683	8737.979047704968	1312.681665590677	20272.272126238986	-1
?	188.6960722063296	-425.49667420073035	60.77531845302317	-82.6301584748498	436.89895238524844	-795.8686245134652	1013.6136063119494	3990.6971127841643	-1
?	179.6911655812891	-3793.921444126591	55.470677442550716	-143.50030344995525	368.71727003869506	2547.8826912596846	1512.2165212298853	16558.219117318782	-1
?	-1	4780.923220081312	53.6003032805254	142.31578761567337	564.2930869482327	4421.54263159794	1841.5245621778888	-1687.0848015164397	-1
?	418.73732658535465	8095.25115615843	62.58646682333438	143.62256913229263	589.794401618592	-4893.292942575533	1427.8622811540633	-1246.7580309533334	-1
?	403.7625578079214	-8394.746531707095	60.78143173714003	-188.73690241942913	319.6284398194561	1746.2748328006437	1779.1866606302221	13962.075383736972	-1
?	-1	-4130.532399329616	53.14962170236293	-101.65508324960885	677.1081432586242	9255.426681193309	2125.966050340912	2671.94229279417	-1
?	197.23593784144063	3892.8291339814186	55.69867757465959	177.1966839823688	782.3997738791214	-5884.221485775398	1912.7837752699306	-10534.288324064011	-1
?	193.6414566990709	-238.45351028878105	62.00945590148137	47.76331940119676	382.89706896985433	-8274.695982252608	1599.2516341377113	1118.7597413785718	-1
?	185.31326232700158	-108.18498516012315	58.08684354471943	5.501196883668059	368.6649747664911	-256.2956050490937	1968.7217623388592	5215.168577066976	-1
?	188.23220744106473	3765.2343152555754	62.28451574566477	86.45060456515004	370.08228871739965	-222.01993720878798	1860.01006299106	-1528.3634837294208	-1
?	373.57497808978053	4327.676300307483	62.409373772976934	-27.310173756147808	357.5639779060517	6908.169787606655	1892.303588152388	6633.115393057441	-1
?	404.61602245643905	-7491.499561795604	60.91900705785738	-73.38900279776546	715.4907780977327	30933.29640054241	2191.6658326439324	15393.309221672816	-1
?	-1	-8112.320449128774	58.73992363308866	-102.45370161422875	1904.2287979331736	12015.326662195603	2661.9690492360296	5060.553983241093	-1
?	-1	0	55.796321977145936	-175.1742882421381	1316.2571112075134	-23205.30664270303	2444.6935318059873	-12052.557272694528	-1
?	-1	0	49.98120922098175	-159.0037205220048	743.9634657980208	-9272.231201373403	2059.3411856013026	-6015.356022936434	-1
?	-1	0	47.84613595104569	-79.75874426584589	852.6455511388429	-2495.595849159463	2143.9257306591653	-4907.8352193400815	-1
?	-1	0	45.99327200768945	-28.25193313253391	619.1836733400476	-3596.083074419029	1813.9494246342983	-7643.391949806494	-1
?	-1	0	46.43353929441899	48.809049011492604	672.8413974178912	7573.15064433642	1761.7561331688403	6547.479899862768	-1
?	-1	0	48.43372445826408	126.65292513213703	997.8412055568689	4373.912042697565	2141.323419627437	2936.511572727531	-1
?	-1	0	52.766185551025835	110.17115047084592	891.5369995527692	2972.4539403017793	1908.5817118052166	2085.628714212833	-1
?	-1	0	53.94228198180638	10.033319797734341	1146.463902571958	3028.1424787420674	2245.604855338079	8719.519328083848	-1
?	-1	4982.392078348146	53.26785154091255	114.52495246423429	1042.9441234898727	-2456.977416107536	2344.5576782094095	-1014.828253654322	-1
?	248.11960391740755	4905.6836134891355	59.6685296050181	443.94757463773607	1023.6150317665811	-6800.71659119768	2194.8634426553626	-18800.8156342717	-0.10737643744989782
?	244.284180674457	-332.9074877029447	75.46523027279937	199.30954361089417	702.9082939299884	-6870.789869985325	1404.5168964958236	-16156.12649947664	9.166877121916897
?	231.4742295322603	-203.38625711893866	69.63400678556282	-29.952060860510105	680.0755382673145	-100.64590691622462	1387.05711768153	-1888.931453125727	4.405887836152866
?	234.11486781851005	27.65963894285105	73.96762722977387	-80.79918801890607	697.8759985841772	-134.01244368536925	1310.0703238395372	-414.112257694455	13.071010389424199
?	232.85721147940285	151.64355577414867	65.59404738461751	-204.89819132280968	673.3749160830461	-996.4968172841045	1366.3515047968071	-693.9310453340789	9.831772491781802
?	241.6970456072175	425.0315275205408	63.722717663633375	161.5615715888977	648.0511577199719	-2221.437916765256	1275.3737715728332	-6535.049710856282	1.0211763217072065
?	254.1087878554299	-41.81957965615137	73.6721259640624	138.26797086606166	562.3030202447832	-1074.4941707504167	1039.5990192539928	-1603.3354883633533	15.406934604465402
?	239.60606662440992	-675.5415184415119	70.63611620693646	-45.47579831818321	594.326449182451	2710.9638740509013	1195.2069971546655	9561.586413294923	10.51874312980366
?	220.33171193335428	-587.50723769567	71.39833604815324	-136.04940491687844	697.8512139473284	1234.1716745520955	1517.6783399187393	5991.783630845079	9.158811150253374
?	210.2307047396264	-4426.634238667082	63.833645961092536	-135.00707268233714	656.0350329100559	-1524.813452501613	1494.7961786969197	-1444.8472659398735	0.5785826508037543
?	-1	-4224.614094792524	64.64798241403638	79.6824364736154	621.6105413222476	-4596.402885779652	1445.4359766217456	-528.2398250742785	3.858191395846475
?	-1	0	67.81776778477331	-114.0602444349921	426.21488862107304	-3183.900314414154	1468.3841874432057	-766.2333164324803	0.02993812143760921
?	-1	0	58.94497019228677	-274.54905014833787	462.4155256015398	5013.265005354743	1407.1243108001215	-1767.0742318784808	-1
?	-1	4462.360778061921	54.0903152773564	205.5176594653528	676.8781388888104	1970.492007250171	1380.0304758492816	-7967.985045259966	-1
?	222.11803890309628	4194.012079131501	69.22085316555442	299.0788159766412	560.9401259640484	-4055.569537506783	1008.7250585371229	-4049.456791324679	7.913272771359708
?	208.70060395657526	-201.78186227655584	69.04425607618848	-69.96968437889444	474.0996620134711	-1925.1829032950768	1177.5576362830475	8616.901658019291	7.584940310493725
?	212.02894578926848	187.02777909805158	65.72236894660969	49.89945464640147	464.6809807992945	590.3619059602531	1439.5701414380878	13587.050460207232	7.927325385092356
?	218.0519929114778	22.50904978568948	71.53922880850854	117.03606670943385	503.6177573114837	2413.636039116529	1856.9101592934067	9694.307265550304	10.898739393497928
?	213.15439827855295	-3.5097564991178967	71.57417228208136	37.981571031127	585.3627827551205	2639.104458577955	1924.2855047156013	2441.000421799726	12.930065469802278
?	217.87650508652192	290.2525068943736	73.43830736006488	52.469016096972794	635.572980240381	1742.3311775547647	1978.9601803833925	722.3228959661882	18.92305126241757
?	227.66702362327158	383.3884428317847	74.19762308693	-22.859420391586493	672.4793416328585	-1812.9666668892896	1960.4016495139106	46.33524596217756	16.441058702388737
?	237.04592722811108	138.58075172454042	72.29533634048556	-12.619381990348346	544.9246468959168	-5182.203155973094	1981.2769426815014	-223.34440558180256	10.794557748367584
?	234.59606120949857	-295.21431726579624	73.56665398741258	-145.2736341083965	413.36918383420465	-1362.2794183355759	1949.2344292348205	1385.532643921952	18.021987368493427
?	222.28521136482132	-608.3448710117254	65.03165463506576	-13.573463509450269	476.81067597913824	-83.69551592531055	2050.5535748775987	-6959.129780993673	10.63243489862775
?	204.1788176589124	-531.5682511753843	72.88798081194007	116.13892187857643	409.18440803793914	-1698.2005735347825	1601.277940185138	-10270.655623152043	16.361879822290746
?	195.7067988060522	-244.0736822962467	70.83860072899456	-194.40156879312124	391.9006473023994	-571.3794130508823	1537.0207937199984	2540.0033481786068	21.174187910240722
?	191.97513354410012	-76.65327361139104	63.16790237228404	-23.467425959471566	380.6154373853951	-221.55552941060103	1728.278107594068	2680.7031334266553	-1
?	191.87413512548267	48.91213031826129	69.66522943102099	154.6727421535034	380.8228708318694	100.52527385059456	1671.0559503913307	-354.3728499727571	17.624067320801153
?	194.42074006001317	3.511220875788025	70.90153947995918	-123.54961789025653	385.64170107792484	-74.16611930934919	1710.5594650954301	3466.3927390400463	22.73586162987946
?	192.04969616927207	-17.41310855620731	63.487748536508185	-121.62007638119988	377.11456486640196	-19.802322838329545	1844.3755873433324	50.591910638340956	-1
?	193.5500846322028	93.27044191231015	64.82053566089921	170.2481907635418	384.65158493600836	394.48004010508413	1713.0890606273472	-9010.033026554107	15.977372538170847
?	196.71321826488756	32.365358216759546	72.00015807468525	76.92197818088685	396.8385668716561	1120.0141396410875	1393.8739360156287	-13124.572039962233	22.901258093886973
?	195.16835254304078	-23.049231047506364	68.66663456994354	-183.1025687541739	440.65229191806253	628.1869765667705	1056.8604586292379	-6962.109026460145	16.10052377499837
?	195.56075671251224	83.41433643338208	62.845029636976584	52.47618835866565	428.2479156999945	443.1676632419833	1045.7684846926227	4438.782855287415	9.249477472261114
?	199.33906936470987	-44.869826094776656	71.29044398787681	173.52163237041103	462.8106750801616	-314.22670356079266	1278.7996013936079	13528.003457411367	17.90551780079975
?	193.31726540777342	2.3918356149346294	71.5211112554971	3.3952597442439134	412.53658052195493	-551.7587640508995	1722.1686575631886	10795.685811001265	14.57329043837655
?	199.4586611454566	83.44819232268237	71.46020697508901	16.377102398288685	435.22273687761674	3109.661832662035	1818.5838919436692	3936.9185505887485	10.805025168336368
?	197.48967502390752	31.405685535982112	72.33996637541154	12.886280624624693	568.0196721550561	3112.602422405118	1919.0145850926253	2382.236925108004	16.278258593228475
?	201.0289454222557	228.46467329660894	72.10452100632024	-19.383514860295815	590.8528579978721	1026.4591067206643	1937.695738199069	-127.14766649696276	16.21081322252084
?	208.91290868873793	443.62357124734376	71.37079063239675	-14.440272822068943	619.3426274910892	1402.5286625903032	1912.6572017677772	1218.7771989429664	16.139759866650994
?	223.2101239846228	557.0001645094393	71.3825073652168	1.2876731905686303	660.979291127387	1000.63599044296	1998.634598146217	594.4613467496514	9.376500464756441
?	236.7629169142098	514.268659761101	71.43517429192518	-45.125166386542496	669.374427013237	-1455.4255503322936	1942.3802691052597	-2143.398252098003	15.052753419233786
?	248.92355697267777	13.203691862058282	69.12624904588968	-150.28560170253837	588.2080136107726	-2308.1831839617794	1891.4646855413173	-571.647034471209	13.36739853676816
?	237.4231015073127	-802.6611872954442	63.92089420679829	-152.64291393962293	553.9652678151484	-1867.1606408994953	1913.7979173816993	6.302640698313575	11.733192485530642
?	208.7904976079057	-510.6415629892167	61.49410334890856	149.69918496897986	494.84998156579815	-2266.872052031672	1891.779817576233	-7392.479499589589	7.565799693181639
?	211.89102335785196	-115.20982325537643	71.40585345524725	82.70634969228426	440.6216652135652	-28.86422416830452	1544.1739424022212	-11181.383746013269	16.654267096618135
?	203.0300064451369	-104.15379587597934	65.62942083352276	-187.54585283150584	493.4067703573829	877.0691689542124	1332.7106302755715	1300.4901330018447	15.982917857866655
?	206.68333356405302	127.66639814667815	62.028560813671994	32.04715960476261	484.4751236612757	-1397.5294982378834	1609.1984490523132	10730.983214473195	12.852617264426438
?	209.4133263524708	-242.91657047640768	67.23177881376088	-13.51731644266342	423.530295445489	2644.492830057707	1869.2597909992294	14470.933870716332	16.451995916473273
?	194.53750504023267	-34.315947814155386	61.352694991538826	-23.236067672244555	616.6997651641606	-399.3801581620315	2332.7451425881272	1676.1817270080624	-1
?	207.69752896176303	166.21620950863533	66.06997543014866	180.65323595979444	403.5612875373875	-3808.1765266491925	1953.0688773496322	-18237.414038781913	11.17227926715802
?	202.8483155156644	-137.36522215705568	70.38535678952852	-137.3752035744912	426.2909388317016	1633.9536838769461	1420.8744406490348	-9647.214282117595	13.61434145638951
?	200.82926785391027	-1173.493299125724	59.201215251424124	-124.76295533232546	485.2589717312345	3977.771190982342	1470.7081632437541	-5424.023689129454	-1
?	144.17365055937842	-353.2054511528737	64.14720902291226	197.82560974851606	625.179498380818	3426.422940757169	1149.673256192563	-4701.167233351592	6.4090378101106875
?	183.16899529626664	960.1645252005716	69.09249573884989	20.485643205667614	656.5801187690923	-220.86859327028913	1235.6498015761754	8405.579327143716	2.0211959311453915
?	192.18187681940682	318.11696982683145	65.17149118319564	10.051148739559359	614.1360687173036	-3968.762029653571	1569.9522225497474	17139.973509033214	7.27193713632694
?	199.07484378760816	-22.72840219301551	69.59505317582786	-95.34354125887055	458.1420172864145	-1885.2317743357296	2092.648477027833	11167.384375538912	13.013555517993108
?	191.04545670975605	-4001.4968757521774	60.40431412025213	-131.85365631931577	519.8744800005175	1731.566750327152	2128.321441326691	-516.3991318848657	10.951660075503213
?	-1	167.45432045295618	63.00237035986209	124.95286493086071	544.7203548027718	-169.38770322258566	2066.82852043359	-6328.190767088131	5.534155571438899
?	199.41817273240383	4045.7487365782563	66.65195736679515	110.78743555657749	511.4050948393882	-1007.5112740292367	1811.9119029722856	-1178.539754567009	7.425012829541373
?	201.2874368289121	198.28826426426943	68.54174213769095	9.617949636036405	494.34479110131014	-1179.7123033252838	2007.9015327052396	8092.997508142145	10.978760143439338
?	209.33258594561727	7574.7921547702135	67.13285484859696	-126.44570244945558	452.4194796731242	-720.3910238719712	2216.5617783793914	2223.779571785302	6.144455845902531
?	580.0270445674214	106.24774513474829	62.21945701521819	55.974763551683026	458.3252399077117	-233.38156174344672	2119.0905112945043	-2131.8504150221984	-1
?	214.64497320235466	-4208.582710745062	69.9315930261811	-80.30145173164001	440.7504015859519	-61.86958054697265	2109.969257628282	-3760.263752477758	9.57724452677061
?	369.59790903016903	54.2227048901511	58.2043844286362	-171.85475860454918	455.2317608803631	1004.3099612790696	1931.077323670617	-5507.109522227299	-1
?	217.3561084468622	1608.960584315065	61.338855095953676	156.63619841867956	490.9658996499052	536.6500298128536	1834.613781516918	-5095.251417501045	6.788160305547054
?	450.045938245922	4838.4819791083655	66.03619434957015	-19.10464571409285	482.06426237100567	799.8429769891521	1676.3147527955657	-2333.4854389608827	5.470287990013979
